303.99,307.32,303.01,310.64,3153500
307.89,307.36,306.01,312.64,3262900
312,305.84,304.68,313.19,3245900
302.99,312.5,301.14,313.64,4049500
311.57,306.64,304.82,316.56,3639200
316.8,312.63,310.84,316.93,3265200
315.53,316.93,313.47,318.59,3290300
325.73,316.5,314.36,326.77,5681000
327.5,326.31,323.25,327.93,2783500
338.12,326,325.93,340.64,4944900
336.03,338.64,336.03,341.26,3051800
333.78,333.57,331.75,334.65,1983600
335.27,335.04,331.28,336.33,2561200
334.78,335.64,333.6,337.39,2753700
335.42,332.63,331.47,338.33,4466000
324,330.54,323.33,332.67,3435000
327.25,326.54,324.02,328.4,3280800
323.99,324.93,323.25,329.56,3549500
326.44,323.05,318.03,328,4784600
317.12,327.82,316.4,332.88,8876300
312,316.48,311.51,317.89,3685700
310.75,311.51,308.79,312.58,2181700
305.94,312.01,303.65,312.38,3803600
300,305.11,300,305.8,2809100
297.82,299.86,296.29,299.99,2647400
296.69,296.64,292.29,297,3758100
303.01,296.52,294.16,304,4674500
303.99,302.81,300.17,304.25,3427400
306.24,305.72,303.24,308.01,3242500
305.15,305.46,301.5,305.72,4550700
293.98,299.07,292.36,299.74,4048200
299.11,294.12,293.07,299.61,4881900
289.76,295.59,289.76,298,5572600
285.7,289.97,285.02,290.42,5950600
284.4,287.06,284,293.81,19801100
313.4,313.18,311.4,316.8,9038200
315.43,312.97,312.64,318.98,3125900
309.9,315.33,307.07,315.64,3559300
302.95,306.21,302.02,306.53,3234500
307.15,303.64,302.72,309.2,4405100
293.83,302.86,293.83,306.82,4731300
304.35,305.97,299.1,307.9,5343900
308,308.31,305.75,312.24,3385800
309.87,306.45,303.47,313.2,4363900
314.02,311.39,311.38,317.77,3681900
321.49,315.37,314.52,322.27,3587900
316.58,322.7,314.14,324.11,3452800
319.43,316.98,316.67,322,2365400
323.5,322.2,319.6,324.13,2290300
320.36,322.74,319.53,325.16,3037400
316.92,318.41,311.31,318.53,3553900
322.04,317.46,315.55,322.17,3089100
321.36,322.44,318.51,323.43,2636200
320.5,321.82,319,323.75,1924600
320.6,323.21,317.64,323.5,3638000
327.99,321.93,321.4,328.54,2928800
324.17,328.21,319.56,329.44,2642200
322.46,323.63,321.25,327.6,2352600
328.49,324.5,321.06,329.49,3109700
327.6,331.32,325.57,332.76,6886200
325.44,325,323.71,327.1,2576900
327.76,324,321.52,328,4136000
321.07,327.76,320.1,329.48,3259900
330.91,323.89,319,331.33,4000400
329.56,331.19,328.79,332.89,3429300
329.94,330.52,326.39,333.01,2720200
334.3,331.33,328.82,334.98,3797400
341.61,329.75,329.18,341.76,4646800
344.54,342.34,339.04,345.81,2955300
346.3,346.38,342.5,346.83,2107000
343.69,345.95,343.58,349.38,3965600
342.54,339,337.55,343.27,1993700
339.98,342.38,337.16,342.5,2326000
341.76,339.04,337.68,341.82,1939500
340,340.02,338.8,341.79,2252700
342.09,343.18,341.34,346.67,2961600
337,341.83,334.55,344.36,3654700
333.21,334.02,332.71,336.77,1957700
332.99,331.59,330.8,334.08,2211200
336.48,332.91,332.23,336.58,1971100
334.68,335.78,334.02,337.16,1810500
334.87,335.13,333.01,335.81,1713800
335.48,334.53,333.77,337.8,2485400
334,333.63,328.32,335,3896700
327.8,333.21,326.71,334.09,3420400
327.6,326.28,326.14,331.72,4945100
318.89,319.32,316.95,321.31,1915800
318.48,318.33,316.88,320.38,2468600
311.94,316.8,310.66,317.32,2705900
315.21,311.45,309.65,315.88,2935600
310.83,313.89,310.2,315.78,2296900
313.3,312.32,310.06,314.55,2852100
308.84,313.65,308.5,316.18,4200900
313.69,307.06,304.59,315.83,7441500
320.01,312.99,311.86,320.68,5192000
321.45,322.51,318.5,322.73,3969000
321.98,320,319.5,322.9,2883800
324.25,320.41,316.5,324.82,5932000
317.3,324.01,314.76,324.87,17846500
359.98,358.61,358.52,364.85,7088700
359.05,358.14,356.62,360.63,2687300
355.25,360.84,355.25,362.93,2888900
358.1,359.76,356.72,361.71,2278400
354.4,358.66,352.08,359.68,3407400
